word,frequency,percentage
possession,727,0.0693106403750211
executive,726,0.0692153024927996
entitled,722,0.06883395096391366
accepted,721,0.06873861308169217
granted,717,0.06835726155280622
support,710,0.06768989637725582
ghulam,706,0.06730854484836987
federal,702,0.06692719331948392
direction,696,0.06635516602615499
death,695,0.06625982814393351
pld,694,0.06616449026171202
compensation,689,0.06568780085060459
manner,689,0.06568780085060459
sentence,688,0.0655924629683831
finding,686,0.06540178720394012
discussion,682,0.06502043567505418
take,678,0.06463908414616823
relevant,663,0.06320901591284592
imprisonment,662,0.06311367803062444
short,662,0.06311367803062444
found,661,0.06301834014840295
assistant,659,0.06282766438395998
body,659,0.06282766438395998
payment,657,0.062636988619517
duty,654,0.062350974972852545
etc,653,0.06225563709063105
cause,650,0.06196962344396659
commission,647,0.06168360979730213
process,646,0.061588271915080636
disposed,645,0.06149293403285915
name,642,0.061206920386194685
according,640,0.06101624462175172
life,637,0.060730230975087264
wali,637,0.060730230975087264
doubt,636,0.060634893092865766
merit,636,0.060634893092865766
bid,635,0.06053955521064428
co,630,0.060062865799536846
judgment,630,0.060062865799536846
already,629,0.05996752791731536
examination,626,0.0596815142706509
condition,625,0.05958617638842941
cj,624,0.05949083850620792
anti,621,0.05920482485954347
gilgit-baltistan,621,0.05920482485954347
claim,617,0.058823473330657516
grant,615,0.05863279756621455
servant,615,0.05863279756621455
engineer,613,0.058442121801771565
-a,606,0.057774756626221155
mentioned,605,0.05767941874399967
position,600,0.057202729332892235
murder,600,0.057202729332892235
following,598,0.05701205356844927
necessary,597,0.05691671568622777
astore,595,0.0567260399217848
council,594,0.056630702039563316
account,593,0.05653536415734183
letter,591,0.05634468839289885
commissioner,590,0.056249350510677365
including,590,0.056249350510677365
magistrate,588,0.056058674746234397
submit,587,0.055963336864012905
sub,586,0.05586799898179142
good,584,0.055677323217348446
rather,584,0.055677323217348446
tehsil,580,0.05529597168846249
ed,580,0.05529597168846249
referred,579,0.055200633806241
wherein,578,0.05510529592401952
sc,577,0.055009958041798035
notification,576,0.05491462015957655
syed,576,0.05491462015957655
contended,573,0.054628606512912084
registered,566,0.05396124133736168
financial,566,0.05396124133736168
placed,565,0.05386590345514019
document,565,0.05386590345514019
company,563,0.053675227690697214
islamabad,562,0.05357988980847572
eye,561,0.05348455192625424
favour,559,0.05329387616181127
refused,557,0.05310320039736829
show,554,0.052817186750703835
road,554,0.052817186750703835
policy,550,0.052435835221817884
month,546,0.05205448369293193
convict,546,0.05205448369293193
-on-record,546,0.05205448369293193
s.,544,0.051863807928488964
teacher,544,0.051863807928488964
illegal,540,0.05148245639960301
single,536,0.05110110487071707
fit,536,0.05110110487071707
nab,535,0.05100576698849557
prove,534,0.05091042910627409
rightly,532,0.05071975334183112
direct,532,0.05071975334183112
conviction,532,0.05071975334183112
na,532,0.05071975334183112
otherwise,531,0.050624415459609634
back,529,0.05043373969516665
illegality,523,0.04986171240183773
reproduced,522,0.04976637451961625
consideration,519,0.04948036087295179
registrar,518,0.04938502299073029
procedure,517,0.049289685108508806
committed,516,0.04919434722628732
ii,514,0.04900367146184435
supply,514,0.04900367146184435
proper,513,0.048908333579622855
produced,512,0.04881299569740138
injury,508,0.04843164416851543
performance,508,0.04843164416851543
day,504,0.04805029263962948
based,504,0.04805029263962948
list,504,0.04805029263962948
fundamental,503,0.04795495475740799
awarded,493,0.04700157593519312
rate,492,0.04690623805297163
alleged,491,0.046810900170750146
paid,490,0.04671556228852866
board,489,0.04662022440630717
argument,487,0.0464295486418642
till,486,0.04633421075964271
objection,486,0.04633421075964271
detail,485,0.046238872877421226
private,483,0.04604819711297825
liable,483,0.04604819711297825
observed,480,0.04576218346631379
crime,478,0.045571507701870816
independent,477,0.045476169819649324
setting,474,0.045190156172984865
iqbal,474,0.045190156172984865
presence,473,0.04509481829076338
admitted,472,0.04499948040854189
recovered,470,0.04480880464409892
cr.p.c,470,0.04480880464409892
lower,467,0.04452279099743446
construction,464,0.04423677735077
constitutional,463,0.04414143946854851
dissatisfied,462,0.044046101586327026
examined,462,0.044046101586327026
beyond,461,0.043950763704105535
proved,460,0.04385542582188405
either,460,0.04385542582188405
agency,460,0.04385542582188405
heir,459,0.04376008793966256
different,459,0.04376008793966256
father,457,0.043569412175219584
contention,456,0.0434740742929981
neither,454,0.043283398528555124
raised,453,0.04318806064633364
conduct,451,0.042997384881890664
hold,450,0.04290204699966918
natural,450,0.04290204699966918
owner,450,0.04290204699966918
fire,450,0.04290204699966918
information,448,0.042711371235226205
system,448,0.042711371235226205
pw-,447,0.04261603335300471
health,446,0.04252069547078323
instant,445,0.042425357588561745
convicted,445,0.042425357588561745
igp,445,0.042425357588561745
infirmity,443,0.04223468182411877
sindh,442,0.042139343941897285
reasonable,442,0.042139343941897285
abbas,442,0.042139343941897285
finance,441,0.042044006059675794
nature,440,0.04194866817745431
established,439,0.041853330295232825
parent,436,0.04156731664856836
status,435,0.04147197876634687
dead,435,0.04147197876634687
ghizer,434,0.04137664088412538
province,433,0.04128130300190389
ensure,433,0.04128130300190389
resident,432,0.04118596511968241
election,432,0.04118596511968241
thus,431,0.041090627237460924
thereto,429,0.04089995147301795
institution,426,0.04061393782635349
branch,425,0.040518599944132004
later,424,0.04042326206191051
al,423,0.04032792417968903
affair,423,0.04032792417968903
perusal,422,0.040232586297467544
copy,422,0.040232586297467544
independence,422,0.040232586297467544
conclusion,419,0.03994657265080308
vehicle,417,0.03975589688636011
arrest,417,0.03975589688636011
senior,417,0.03975589688636011
cost,415,0.03956522112191713
contractor,414,0.03946988323969564
function,414,0.03946988323969564
got,413,0.03937454535747415
next,413,0.03937454535747415
end,412,0.03927920747525267
ullah,412,0.03927920747525267
reasoned,410,0.03908853171080969
sent,410,0.03908853171080969
head,409,0.03899319382858821
opinion,409,0.03899319382858821
involved,407,0.03880251806414523
ahmad,406,0.03870718018192375
superior,406,0.03870718018192375
cr.pc,406,0.03870718018192375
conducted,405,0.038611842299702256
dam,405,0.038611842299702256
argued,404,0.03851650441748077
code,404,0.03851650441748077
force,403,0.03842116653525929
interference,403,0.03842116653525929
ex,401,0.03823049077081631
complaint,401,0.03823049077081631
converted,401,0.03823049077081631
sher,400,0.03813515288859483
except,399,0.03803981500637334
used,399,0.03803981500637334
sip,399,0.03803981500637334
malik,398,0.03794447712415185
country,397,0.03784913924193037
share,395,0.03765846347748739
lahore,395,0.03765846347748739
fixed,394,0.0375631255952659
unless,394,0.0375631255952659
offender,392,0.037372449830822926
stage,391,0.037277111948601435
defence,391,0.037277111948601435
islamic,390,0.03718177406637995
bar,390,0.03718177406637995
transfer,389,0.03708643618415847
instead,389,0.03708643618415847
relied,388,0.036991098301936975
every,388,0.036991098301936975
cross,388,0.036991098301936975
local,386,0.03680042253749401
declared,385,0.036705084655272516
home,385,0.036705084655272516
original,385,0.036705084655272516
sustainable,385,0.036705084655272516
took,384,0.03660974677305103
weapon,384,0.03660974677305103
prepared,383,0.03651440889082955
arisen,381,0.03632373312638657
taking,381,0.03632373312638657
agreement,380,0.03622839524416509
regular,380,0.03622839524416509
minister,380,0.03622839524416509
mill,379,0.036133057361943596
govt,379,0.036133057361943596
administrative,378,0.03603771947972211
